,Load,Load forecast
2020-01-01 11:15:00+01:00,47032.93,51335.17
2020-01-01 11:30:00+01:00,47440.08,51867.98
2020-01-01 11:45:00+01:00,47651.39,52073.77
2020-01-01 12:00:00+01:00,48341.32,51956.52
2020-01-01 12:15:00+01:00,48608.53,51630.01
2020-01-01 12:30:00+01:00,48580.26,51369.68
2020-01-01 12:45:00+01:00,48440.24,51196.37
2020-01-01 13:00:00+01:00,48470.07,50777.82
2020-01-01 13:15:00+01:00,48273.71,50268.28
2020-01-01 13:30:00+01:00,48199.64,49985.71
2020-01-01 13:45:00+01:00,47949.29,49562.79
2020-01-01 14:00:00+01:00,47144.79,49407.13
2020-01-01 14:15:00+01:00,46795.63,49239.26
2020-01-01 14:30:00+01:00,46291.17,48962.9
2020-01-01 14:45:00+01:00,46268.82,48934.85
2020-01-01 15:00:00+01:00,46653.69,49315.71
2020-01-01 15:15:00+01:00,46561.28,48997.61
2020-01-01 15:30:00+01:00,46739.3,49194.32
2020-01-01 15:45:00+01:00,47094.24,49161.55
2020-01-01 16:00:00+01:00,47826.3,49597.58
2020-01-01 16:15:00+01:00,48684.32,49769.91
2020-01-01 16:30:00+01:00,50150.1,50560.53
2020-01-01 16:45:00+01:00,51611.6,51369.24
2020-01-01 17:00:00+01:00,52883.7,52657.44
2020-01-01 17:15:00+01:00,53360.39,53311.16
2020-01-01 17:30:00+01:00,53869.83,53809.96
2020-01-01 17:45:00+01:00,54193.52,54276.5
2020-01-01 18:00:00+01:00,54615.74,54798.48
2020-01-01 18:15:00+01:00,54442.09,55139.44
2020-01-01 18:30:00+01:00,54524.26,54911.66
2020-01-01 18:45:00+01:00,54073.4,54812.7
2020-01-01 19:00:00+01:00,53987.01,54943.58
2020-01-01 19:15:00+01:00,53302.49,54481.85
2020-01-01 19:30:00+01:00,52988.03,54240.03
2020-01-01 19:45:00+01:00,52398.75,53938.95
2020-01-01 20:00:00+01:00,51937.71,53458.57
2020-01-01 20:15:00+01:00,51374.3,52872.3
2020-01-01 20:30:00+01:00,50676.3,52470.59
2020-01-01 20:45:00+01:00,50133.22,52034
2020-01-01 21:00:00+01:00,49953.53,51769.65
2020-01-01 21:15:00+01:00,49630.9,51424.9
2020-01-01 21:30:00+01:00,49632.37,51132.03
2020-01-01 21:45:00+01:00,49235.26,51089.02
2020-01-01 22:00:00+01:00,49666.26,51569.67
2020-01-01 22:15:00+01:00,49140.8,51144.97
2020-01-01 22:30:00+01:00,48396.47,50457.18
2020-01-01 22:45:00+01:00,47603.52,49851.86
2020-01-01 23:00:00+01:00,46852.01,49023.49
2020-01-01 23:15:00+01:00,46311.36,48452.55
2020-01-01 23:30:00+01:00,45524.34,47696.44
2020-01-01 23:45:00+01:00,44869.28,46983.68
2020-01-02 00:00:00+01:00,44817.14,47350.51
2020-01-02 00:15:00+01:00,44643.27,46465.41
2020-01-02 00:30:00+01:00,44419.99,46066.8
2020-01-02 00:45:00+01:00,43834.57,45692.25
2020-01-02 01:00:00+01:00,43356.13,45163.86
2020-01-02 01:15:00+01:00,43039.21,44948.85
2020-01-02 01:30:00+01:00,42762.55,44661
2020-01-02 01:45:00+01:00,42727.91,44338.45
2020-01-02 02:00:00+01:00,42529.32,44274.7
2020-01-02 02:15:00+01:00,42286.28,44444.63
2020-01-02 02:30:00+01:00,42308.73,44481.84
2020-01-02 02:45:00+01:00,42258.65,44446.02
2020-01-02 03:00:00+01:00,42466.15,44574.77
2020-01-02 03:15:00+01:00,42167.45,44565.99
2020-01-02 03:30:00+01:00,42345.23,44721.21
2020-01-02 03:45:00+01:00,42588.16,44944.2
2020-01-02 04:00:00+01:00,42966.15,45192.6
2020-01-02 04:15:00+01:00,43167.44,45481.06
2020-01-02 04:30:00+01:00,43721.32,45780.45
2020-01-02 04:45:00+01:00,44147.36,46468.52
2020-01-02 05:00:00+01:00,45014.63,47489.24
2020-01-02 05:15:00+01:00,45347.98,48044.76
2020-01-02 05:30:00+01:00,46232.07,49130.12
2020-01-02 05:45:00+01:00,46826.82,50461.73
2020-01-02 06:00:00+01:00,48320.04,52970.03
2020-01-02 06:15:00+01:00,49681.73,54260.17
2020-01-02 06:30:00+01:00,50906.58,55841.12
2020-01-02 06:45:00+01:00,52364.09,57163.46
2020-01-02 07:00:00+01:00,53783.83,58780.11
