timestamp,y,y_hat
2025-10-04 13:30:00+02:00,53390.73,52341.98
2025-10-04 13:45:00+02:00,52882.13,51983.86
2025-10-04 14:00:00+02:00,52865.712,51750.13
2025-10-04 14:15:00+02:00,52207.851,51651.01
2025-10-04 14:30:00+02:00,52225.564,51241.46
2025-10-04 14:45:00+02:00,52199.098,50875.02
2025-10-04 15:00:00+02:00,52181.632,51134.48
2025-10-04 15:15:00+02:00,52121.03,51230.12
2025-10-04 15:30:00+02:00,51763.729,50552.98
2025-10-04 15:45:00+02:00,52198.659,50396.33
2025-10-04 16:00:00+02:00,51941.083,50448.54
2025-10-04 16:15:00+02:00,52103.18,50337.11
2025-10-04 16:30:00+02:00,52167.405,50204.13
2025-10-04 16:45:00+02:00,52659.429,50199.99
2025-10-04 17:00:00+02:00,53097.821,50641.26
2025-10-04 17:15:00+02:00,53414.675,50887.17
2025-10-04 17:30:00+02:00,53938.87,51041.22
2025-10-04 17:45:00+02:00,54776.153,51271.16
2025-10-04 18:00:00+02:00,55206.444,51441.05
2025-10-04 18:15:00+02:00,54465.832,51917.2
2025-10-04 18:30:00+02:00,55042.247,52174.18
2025-10-04 18:45:00+02:00,55273.942,51952.98
2025-10-04 19:00:00+02:00,55713.277,52040.09
2025-10-04 19:15:00+02:00,55934.192,52112.22
2025-10-04 19:30:00+02:00,55568.546,52044.79
2025-10-04 19:45:00+02:00,54614.482,51682.61
2025-10-04 20:00:00+02:00,54003.751,51418.27
2025-10-04 20:15:00+02:00,53083.047,50754.52
2025-10-04 20:30:00+02:00,52213.039,50191.81
2025-10-04 20:45:00+02:00,51168.946,49730.8
2025-10-04 21:00:00+02:00,50616.386,49147.8
2025-10-04 21:15:00+02:00,49687.485,48655.23
2025-10-04 21:30:00+02:00,49313.214,48193.11
2025-10-04 21:45:00+02:00,48517.527,47808.8
2025-10-04 22:00:00+02:00,48032.391,47389.86
2025-10-04 22:15:00+02:00,47416.87,46847.86
2025-10-04 22:30:00+02:00,46985.317,46319.66
2025-10-04 22:45:00+02:00,46096.596,45808.31
2025-10-04 23:00:00+02:00,45269.799,45061.5
2025-10-04 23:15:00+02:00,44862.57,44482.04
2025-10-04 23:30:00+02:00,44479.802,43991.07
2025-10-04 23:45:00+02:00,43924.7,43288.05
2025-10-05 00:00:00+02:00,43499.865,43253.46
2025-10-05 00:15:00+02:00,42542.798,42806.06
2025-10-05 00:30:00+02:00,42103.991,42435.84
2025-10-05 00:45:00+02:00,41855.928,41934.98
2025-10-05 01:00:00+02:00,41420.729,41444.94
2025-10-05 01:15:00+02:00,40866.83,41044.83
2025-10-05 01:30:00+02:00,40357.836,40744.06
2025-10-05 01:45:00+02:00,40222.876,40453.3
2025-10-05 02:00:00+02:00,39948.049,40273.72
2025-10-05 02:15:00+02:00,39916.926,39921.16
2025-10-05 02:30:00+02:00,39858.232,39894.42
2025-10-05 02:45:00+02:00,39430.604,39824.91
2025-10-05 03:00:00+02:00,39398.582,39774.32
2025-10-05 03:15:00+02:00,39222.842,39709.05
2025-10-05 03:30:00+02:00,39461.923,39745.71
2025-10-05 03:45:00+02:00,39467.722,39790.21
2025-10-05 04:00:00+02:00,39804.202,39933.79
2025-10-05 04:15:00+02:00,39949.51,40037.97
2025-10-05 04:30:00+02:00,39941.612,40061.58
2025-10-05 04:45:00+02:00,39818.006,40138.04
2025-10-05 05:00:00+02:00,39882.753,40491.16
2025-10-05 05:15:00+02:00,39930.284,40567.42
2025-10-05 05:30:00+02:00,39923.508,40832.88
2025-10-05 05:45:00+02:00,40215.947,41042.95
2025-10-05 06:00:00+02:00,41090.742,41654.55
2025-10-05 06:15:00+02:00,41233.934,42013.79
2025-10-05 06:30:00+02:00,41785.684,42517.39
2025-10-05 06:45:00+02:00,41784.772,43020.88
2025-10-05 07:00:00+02:00,42456.431,43828.89
2025-10-05 07:15:00+02:00,42877.459,44530.92
2025-10-05 07:30:00+02:00,43448.532,45171.32
2025-10-05 07:45:00+02:00,43893.732,46172.96
2025-10-05 08:00:00+02:00,44661.2,47043.01
2025-10-05 08:15:00+02:00,45362.62,47690.73
2025-10-05 08:30:00+02:00,45839.614,48588.0
2025-10-05 08:45:00+02:00,46879.261,49230.2
2025-10-05 09:00:00+02:00,47595.828,49714.45
2025-10-05 09:15:00+02:00,48604.505,50252.47
2025-10-05 09:30:00+02:00,49499.937,50794.13
2025-10-05 09:45:00+02:00,49898.961,51431.13
2025-10-05 10:00:00+02:00,50677.362,51910.89
2025-10-05 10:15:00+02:00,51282.206,52192.4
2025-10-05 10:30:00+02:00,51339.908,52656.04
2025-10-05 10:45:00+02:00,52734.617,53064.91
2025-10-05 11:00:00+02:00,53653.892,53292.51
2025-10-05 11:15:00+02:00,54044.889,53444.6
2025-10-05 11:30:00+02:00,54244.268,53639.56
2025-10-05 11:45:00+02:00,54804.858,53598.34
2025-10-05 12:00:00+02:00,53653.249,53519.98
2025-10-05 12:15:00+02:00,53756.285,53409.72
2025-10-05 12:30:00+02:00,53342.154,53307.81
2025-10-05 12:45:00+02:00,52962.476,53086.67
2025-10-05 13:00:00+02:00,52214.388,52703.44
2025-10-05 13:15:00+02:00,52232.369,52227.66
2025-10-05 13:30:00+02:00,51515.786,51816.56
2025-10-05 13:45:00+02:00,50768.46,51371.06
2025-10-05 14:00:00+02:00,50291.975,50905.84
2025-10-05 14:15:00+02:00,50024.436,50633.9
2025-10-05 14:30:00+02:00,49660.562,50398.01
2025-10-05 14:45:00+02:00,49188.59,50078.05
2025-10-05 15:00:00+02:00,48996.304,50110.45
2025-10-05 15:15:00+02:00,48575.349,49826.25
2025-10-05 15:30:00+02:00,48343.884,49465.9
2025-10-05 15:45:00+02:00,48575.568,49296.59
2025-10-05 16:00:00+02:00,48915.899,49694.63
2025-10-05 16:15:00+02:00,48343.846,49646.79
2025-10-05 16:30:00+02:00,48803.842,49594.89
2025-10-05 16:45:00+02:00,49275.794,49795.04
2025-10-05 17:00:00+02:00,49972.883,50248.53
2025-10-05 17:15:00+02:00,50965.556,50870.86
2025-10-05 17:30:00+02:00,51817.009,51109.77
2025-10-05 17:45:00+02:00,52401.534,51416.56
2025-10-05 18:00:00+02:00,53686.23,51788.02
2025-10-05 18:15:00+02:00,53865.681,52151.55
2025-10-05 18:30:00+02:00,53999.296,52548.58
2025-10-05 18:45:00+02:00,54595.607,52757.95
2025-10-05 19:00:00+02:00,55787.482,52908.87
2025-10-05 19:15:00+02:00,55224.297,52996.1
2025-10-05 19:30:00+02:00,54725.206,52977.52
2025-10-05 19:45:00+02:00,54462.666,52788.43
2025-10-05 20:00:00+02:00,53692.769,52482.34
2025-10-05 20:15:00+02:00,53099.768,51904.89
2025-10-05 20:30:00+02:00,52179.166,51600.58
2025-10-05 20:45:00+02:00,51495.106,51090.76
2025-10-05 21:00:00+02:00,51114.122,50760.47
2025-10-05 21:15:00+02:00,50419.74,50280.03
2025-10-05 21:30:00+02:00,49801.071,49718.3
2025-10-05 21:45:00+02:00,49683.724,49228.91
2025-10-05 22:00:00+02:00,49754.394,48910.37
2025-10-05 22:15:00+02:00,49461.523,48318.45
2025-10-05 22:30:00+02:00,48809.817,47687.55
2025-10-05 22:45:00+02:00,48268.702,47064.03
2025-10-05 23:00:00+02:00,47776.159,46225.38
2025-10-05 23:15:00+02:00,47117.132,45692.71
2025-10-05 23:30:00+02:00,46478.13,45063.82
2025-10-05 23:45:00+02:00,45648.298,44562.81
2025-10-06 00:00:00+02:00,44133.337,43467.23
2025-10-06 00:15:00+02:00,43610.327,43081.92
2025-10-06 00:30:00+02:00,43240.206,42833.09
2025-10-06 00:45:00+02:00,42813.666,42507.31
2025-10-06 01:00:00+02:00,42604.628,41986.82
2025-10-06 01:15:00+02:00,42503.031,41822.27
2025-10-06 01:30:00+02:00,42280.991,41718.61
2025-10-06 01:45:00+02:00,41754.283,41614.99
2025-10-06 02:00:00+02:00,42073.29,41412.85
2025-10-06 02:15:00+02:00,41663.57,41294.19
2025-10-06 02:30:00+02:00,41561.054,41311.25
2025-10-06 02:45:00+02:00,41313.384,41293.4
2025-10-06 03:00:00+02:00,41462.421,41324.62
2025-10-06 03:15:00+02:00,41554.907,41397.23
2025-10-06 03:30:00+02:00,41886.163,41571.79
2025-10-06 03:45:00+02:00,42251.587,41671.04
2025-10-06 04:00:00+02:00,42560.309,42279.86
2025-10-06 04:15:00+02:00,42924.825,42570.16
2025-10-06 04:30:00+02:00,43486.23,43203.65
2025-10-06 04:45:00+02:00,44418.369,43807.9
2025-10-06 05:00:00+02:00,45780.399,44987.01
2025-10-06 05:15:00+02:00,46754.196,46172.37
2025-10-06 05:30:00+02:00,47986.326,48036.96
2025-10-06 05:45:00+02:00,49852.785,49779.42
2025-10-06 06:00:00+02:00,53231.468,52351.68
2025-10-06 06:15:00+02:00,55399.087,54390.39
2025-10-06 06:30:00+02:00,57586.656,56073.3
2025-10-06 06:45:00+02:00,59595.724,57673.65
2025-10-06 07:00:00+02:00,61399.718,59562.27
2025-10-06 07:15:00+02:00,62306.691,60629.46
2025-10-06 07:30:00+02:00,63012.641,61615.47
2025-10-06 07:45:00+02:00,63510.152,62420.3
2025-10-06 08:00:00+02:00,64506.718,63419.02
2025-10-06 08:15:00+02:00,65341.947,64135.99
2025-10-06 08:30:00+02:00,65834.195,64767.07
2025-10-06 08:45:00+02:00,65744.409,65206.65
2025-10-06 09:00:00+02:00,65542.228,65222.4
2025-10-06 09:15:00+02:00,66432.386,65922.14
2025-10-06 09:30:00+02:00,66799.025,66188.38
2025-10-06 09:45:00+02:00,66958.011,66607.28
2025-10-06 10:00:00+02:00,66570.782,66698.71
2025-10-06 10:15:00+02:00,66632.037,66997.72
2025-10-06 10:30:00+02:00,66922.411,67382.45
2025-10-06 10:45:00+02:00,67227.951,67541.07
2025-10-06 11:00:00+02:00,67139.189,67588.59
2025-10-06 11:15:00+02:00,66923.14,67434.06
2025-10-06 11:30:00+02:00,67377.599,67381.85
