pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_critvals,pit_ad_siglevels,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.31,7.766587460292046e-22,9.214309333333334,4.1598080535720783e-10,0.9181980241656333,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",837.9651914549161,7.069396247429552e-179,1308.6910111759937,5.093705174572451e-275,1552.6782737550623,0.0,z=Phi^{-1}(u),990.7392531775289,1.0,5000,5250,250,250,non_overlapping
0.36,1.603712392081559e-29,8.728985333333334,1.4785050961307888e-10,4.014927368672005,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",822.7108800861903,1.4121298660622692e-175,1322.1921031280413,6.210284612149898e-278,1701.9385751047876,0.0,z=Phi^{-1}(u),887.8822231800925,1.0,5250,5500,250,250,non_overlapping
0.514,7.508322408347885e-62,26.067437333333334,5.9030671462068085e-09,0.5811929852120841,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",790.4191494486314,1.367460493833987e-168,1219.5761426365223,8.625086140971538e-256,1544.2569428442084,0.0,z=Phi^{-1}(u),1302.3854789451152,0.992,5500,5750,250,250,non_overlapping
0.312,4.047022864305655e-22,7.478277333333334,6.724032441951522e-10,0.4659773315514144,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",716.6978457381307,1.2041477635841927e-152,972.1756107686006,1.8406753640467027e-202,1032.0506593576579,5.687863501819e-206,z=Phi^{-1}(u),858.9223950375683,1.0,5750,6000,250,250,non_overlapping
0.392,4.00496317878088e-35,13.216297333333333,1.9297141662377726e-10,2.557706464366163,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",911.8357357179065,7.30310559083128e-195,1474.7691057107588,7.0938436264274e-311,2060.1295957456027,0.0,z=Phi^{-1}(u),1028.5824790194044,0.992,6000,6250,250,250,non_overlapping
0.362,7.428826458981814e-30,10.358729333333335,6.771050387044397e-11,9.385652936024599,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1145.0148176924513,2.3843188570291535e-245,2172.13650854241,0.0,3796.358966860871,0.0,z=Phi^{-1}(u),1244.8838679428375,0.888,6250,6500,250,250,non_overlapping
0.44200000000000006,5.248310583636946e-45,26.52915733333319,7.77211317526394e-09,8.121031595055172,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",689.7168761877209,8.214781611971067e-147,1212.1648052895287,3.424075828769088e-254,2087.589416676852,0.0,z=Phi^{-1}(u),2380.087453580565,0.628,6500,6750,250,250,non_overlapping
0.514,7.508322408347885e-62,27.552773333333334,1.3847016866463946e-08,0.7871305150172816,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",881.9825616046354,2.1105972430263068e-188,1368.4888438626347,6.303759510938899e-288,1663.0647521097956,0.0,z=Phi^{-1}(u),1484.2476011517724,0.952,6750,7000,250,250,non_overlapping
0.192,1.514511144371369e-08,3.5622453333333333,3.519572078225508e-09,2.7544645307087308,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1032.1329189036346,6.635418582754367e-221,1723.0927773482485,0.0,2546.9226731768754,0.0,z=Phi^{-1}(u),820.9777533364165,1.0,7000,7250,250,250,non_overlapping
0.28800000000000003,7.47610237750441e-19,7.305253333333333,4.366766948038503e-10,0.8623676648977607,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",920.8966505399103,7.986974712722957e-197,1346.7118396748326,3.166582844766003e-283,1612.333795314248,0.0,z=Phi^{-1}(u),939.5473800954888,1.0,7250,7500,250,250,non_overlapping
0.42600000000000005,1.0883816651087206e-41,23.003269333333332,8.595766876062783e-09,3.6045422711169977,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1097.7046656622338,4.1994645380453424e-235,1942.8222881145891,0.0,3143.9704166168267,0.0,z=Phi^{-1}(u),1668.1813225235665,0.88,7500,7750,250,250,non_overlapping
0.31399999999999995,2.099163906529765e-22,6.871401333333333,1.3449930058584414e-10,7.025797512052975,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1024.0427447048314,3.745510135381391e-219,1680.3156854450804,0.0,2189.96518176752,0.0,z=Phi^{-1}(u),1136.6240293198,0.952,7750,8000,250,250,non_overlapping
0.61,7.717140016110221e-90,40.87700533333333,1.4648003587858227e-08,0.8344411883954308,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",967.269224328283,7.322220695877326e-207,1537.3797265228577,0.0,1925.207655600923,0.0,z=Phi^{-1}(u),2073.0214882561017,0.792,8000,8250,250,250,non_overlapping
0.46,6.44139785209482e-49,21.898673333333328,3.9426387710150834e-09,3.162569729872473,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",391.5536295579612,1.9612752399037095e-82,539.3023088893857,1.7436351957090845e-109,578.8458050466724,8.183396429526513e-110,z=Phi^{-1}(u),1562.6932016355165,0.904,8250,8500,250,250,non_overlapping
0.20800000000000002,5.773604210119883e-10,3.3081373333333337,1.3145486921217753e-08,2.941484986618576,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1045.7149322787889,7.604518732102034e-224,1745.272202631878,0.0,2436.192605382158,0.0,z=Phi^{-1}(u),1357.8276205760794,0.964,8500,8750,250,250,non_overlapping
0.23200000000000004,2.5808990255461568e-12,3.8844693333333336,7.826517212095041e-10,3.3745707890504377,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1020.735491855634,1.9479088131268403e-218,1654.0462737732062,0.0,2081.5218589921055,0.0,z=Phi^{-1}(u),850.333171063829,1.0,8750,9000,250,250,non_overlapping
0.2779999999999999,1.417221706092633e-17,6.366477333333333,2.7926327916816263e-11,1.0256929780077542,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",884.2037014780568,6.9779163665646386e-189,1302.2431551120403,1.2548765377948444e-273,1461.1128175787642,8.747414084061757e-298,z=Phi^{-1}(u),860.549279341468,1.0,9000,9250,250,250,non_overlapping
0.592,4.73429379861531e-84,35.674041333333335,1.180867903460836e-08,3.344797614930542,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",856.5026375378359,6.890449140499092e-183,1308.4735050803074,5.6751370036508925e-275,1487.978499925725,1.5107392555133733e-303,z=Phi^{-1}(u),1590.5217886693497,1.0,9250,9500,250,250,non_overlapping
0.45799999999999996,1.7910087332440114e-48,19.264901333333334,6.6536766096803035e-09,0.8636763401907217,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",928.5420769595418,1.7683713203213586e-198,1559.4152497212851,0.0,2304.0500175286725,0.0,z=Phi^{-1}(u),1164.5039418880874,1.0,9500,9750,250,250,non_overlapping
