pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_pvalue,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,pit_acf_lag1,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode,governance_label,reason_codes,reason_summary
0.0699999999999999,0.1645397722936834,0.4119213333333333,0.0671322723598084,0.7079868623346783,0.0673608006881494,545.2162490071221,1.379924301467875e-115,609.5418276498443,1.5888222595924027e-124,621.6435634061928,7.895389880713419e-119,z=Phi^{-1}(u),0.9097682027751112,761.3530199405429,0.976,1000,1250,250,50,overlapping,RED,"['ACF_dependence_fail', 'overcoverage']","Independence strongly rejected (min Ljung-Box p=1.59e-124, |ACF lag-1|=0.9098).; Coverage off-target by 0.076 (target=0.900)."
0.064,0.2467324500849861,0.2085173333333292,0.2516373684887176,1.2942917223464008,0.01,521.5121791266482,1.81251055865216e-110,626.675793729059,3.37662346919762e-128,757.508050955052,1.462463159595673e-147,z=Phi^{-1}(u),0.8590031998748062,871.6174203987462,0.964,1050,1300,250,50,overlapping,RED,"['ACF_dependence_fail', 'overcoverage']","Independence strongly rejected (min Ljung-Box p=1.46e-147, |ACF lag-1|=0.8590).; Coverage off-target by 0.064 (target=0.900)."
0.09,0.032690132515418,0.8789653333333293,0.0047005174122085,1.2678137796459907,0.01,455.65124050025656,2.966293824458445e-96,512.0504731355949,1.173232289633692e-103,637.059958725112,4.4175807740930696e-122,z=Phi^{-1}(u),0.847242869331329,866.470091306794,0.976,1100,1350,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'overcoverage']","Uniformity strongly rejected (min p=0.0047, KS=0.0900).; Independence strongly rejected (min Ljung-Box p=4.42e-122, |ACF lag-1|=0.8472).; Coverage off-target by 0.076 (target=0.900)."
0.218,6.529461679456593e-11,4.97643733333333,4.315670043553155e-11,1.556740530056004,0.01,434.6722269093139,9.935295364421184e-92,482.9748694691015,1.913947050850166e-97,688.4132007195533,6.2525129607170835e-133,z=Phi^{-1}(u),0.8359185000487008,945.6661280506836,0.952,1150,1400,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'overcoverage']","Uniformity strongly rejected (min p=4.32e-11, KS=0.2180).; Independence strongly rejected (min Ljung-Box p=6.25e-133, |ACF lag-1|=0.8359).; Coverage off-target by 0.052 (target=0.900)."
0.296,6.551690935751788e-20,9.98040133333333,1.754516976149034e-09,1.7518870585349475,0.01,334.8572301479715,3.1817767719766945e-70,341.30601774722754,2.7849890073884922e-67,376.9964543615959,1.1895691393079558e-67,z=Phi^{-1}(u),0.8005029156273498,1005.7579909715153,0.94,1200,1450,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=6.55e-20, KS=0.2960).; Independence strongly rejected (min Ljung-Box p=3.18e-70, |ACF lag-1|=0.8005).; Coverage mildly off-target by 0.040 (target=0.900)."
0.306,2.821306890600364e-21,9.53052533333333,7.71428143586661e-10,1.8598987343153224,0.01,340.6963953742292,1.761596301764114e-71,349.4986454336733,5.090750637730655e-69,352.82876741523245,1.1637321465969924e-62,z=Phi^{-1}(u),0.8043304650800761,1011.110756964898,0.936,1250,1500,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=2.82e-21, KS=0.3060).; Independence strongly rejected (min Ljung-Box p=1.76e-71, |ACF lag-1|=0.8043).; Coverage mildly off-target by 0.036 (target=0.900)."
0.1479999999999999,3.0364362222398674e-05,2.038641333333233,9.830089502727011e-06,9.85404135637873,0.01,665.5362082293378,1.3873343457404763e-141,802.8897035542931,4.935674254854888e-166,861.7840481401109,1.0584491569712836e-169,z=Phi^{-1}(u),0.9173382854223004,947.4258580846822,0.904,1300,1550,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=9.83e-06, KS=0.1480).; Independence strongly rejected (min Ljung-Box p=1.06e-169, |ACF lag-1|=0.9173)."
0.062,0.2800260038615019,0.2462733333332333,0.1932402231012784,6.95997382748908,0.01,719.2060789734243,3.4537699088396984e-153,927.125550541302,9.230456519274428e-193,1075.2178353160043,3.4766968710632825e-215,z=Phi^{-1}(u),0.9231298150726231,949.416283451098,0.9,1350,1600,250,50,overlapping,RED,['ACF_dependence_fail'],"Independence strongly rejected (min Ljung-Box p=3.48e-215, |ACF lag-1|=0.9231)."
0.04,0.8033518023976386,0.0408413333332333,0.9291220188109144,7.336293397751206,0.01,632.5755867944112,1.8471497143316616e-134,783.2238507327664,8.332233534960672e-162,860.5894230160485,1.899635726823668e-169,z=Phi^{-1}(u),0.905274642755709,898.9065715183564,0.904,1400,1650,250,50,overlapping,RED,['ACF_dependence_fail'],"Independence strongly rejected (min Ljung-Box p=1.9e-169, |ACF lag-1|=0.9053)."
0.104,0.0082906374971019,0.6859613333332332,0.0137076249788878,9.152293523840854,0.01,607.0884753824998,5.946394133748492e-129,733.3518120457042,4.3285870514531944e-151,795.8833116609438,1.0584140260572018e-155,z=Phi^{-1}(u),0.9021198352145264,819.6793855560082,0.916,1450,1700,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=0.00829, KS=0.1040).; Independence strongly rejected (min Ljung-Box p=1.06e-155, |ACF lag-1|=0.9021)."
0.154,1.211756149014716e-05,1.856845333333233,2.549752560698781e-05,9.54116556181998,0.01,589.2345740836815,4.283496010653013e-125,711.9653286039087,1.6946929724624e-146,782.2493442663346,8.276953977243347e-153,z=Phi^{-1}(u),0.8988954901329678,800.1208073826446,0.908,1500,1750,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=1.21e-05, KS=0.1540).; Independence strongly rejected (min Ljung-Box p=8.28e-153, |ACF lag-1|=0.8989)."
0.146,4.090430161748266e-05,1.6577333333333333,7.26854412780309e-05,1.0683328917706092,0.01,503.821672194168,1.1948996954242606e-106,658.6603876813004,4.670032622074742e-135,852.0526341597574,1.2403286161758901e-167,z=Phi^{-1}(u),0.8684269063260183,694.5822107413227,0.96,1550,1800,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'overcoverage']","Uniformity strongly rejected (min p=4.09e-05, KS=0.1460).; Independence strongly rejected (min Ljung-Box p=1.24e-167, |ACF lag-1|=0.8684).; Coverage off-target by 0.060 (target=0.900)."
0.146,4.090430161748266e-05,1.633457333333317,8.261406964615858e-05,4.160722317662248,0.01,261.25115951923107,2.115510267232676e-54,333.1272223278683,1.5098852007763246e-65,427.2929704960818,4.371275703274781e-78,z=Phi^{-1}(u),0.7884051824912985,765.6338237179207,0.944,1600,1850,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=4.09e-05, KS=0.1460).; Independence strongly rejected (min Ljung-Box p=4.37e-78, |ACF lag-1|=0.7884).; Coverage mildly off-target by 0.044 (target=0.900)."
0.272,7.849561393665856e-17,8.064193333333318,2.9315661009832183e-11,4.722290088560442,0.01,236.1807364654937,5.060517363944836e-49,271.41459617479177,1.68331588383534e-52,315.7377784014744,4.882443573299014e-55,z=Phi^{-1}(u),0.7877223482976246,759.4137022364837,0.94,1650,1900,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=7.85e-17, KS=0.2720).; Independence strongly rejected (min Ljung-Box p=4.88e-55, |ACF lag-1|=0.7877).; Coverage mildly off-target by 0.040 (target=0.900)."
0.312,4.047022864305581e-22,9.958373333333316,1.6889932785701942e-09,5.989274855758936,0.01,204.17547014439097,3.631194912488331e-42,222.2266358331217,3.653646221370134e-42,253.137798855495,2.659269166617973e-42,z=Phi^{-1}(u),0.7677318700029199,743.0599563215832,0.94,1700,1950,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=4.05e-22, KS=0.3120).; Independence strongly rejected (min Ljung-Box p=2.66e-42, |ACF lag-1|=0.7677).; Coverage mildly off-target by 0.040 (target=0.900)."
0.2119999999999999,2.4454631950970394e-10,4.651769333333317,2.1097124047742e-11,4.317656760375854,0.01,244.05928195511265,1.0341641075786273e-50,318.32730025348576,2.061826130176037e-62,401.198973131231,1.1528834205347018e-72,z=Phi^{-1}(u),0.7869193230415005,771.3605845341242,0.928,1750,2000,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=2.11e-11, KS=0.2120).; Independence strongly rejected (min Ljung-Box p=1.15e-72, |ACF lag-1|=0.7869).; Coverage mildly off-target by 0.028 (target=0.900)."
0.1919999999999999,1.5145111443713852e-08,3.797349333333317,1.1093956864272059e-09,2.466659650152053,0.01,231.23662051228044,5.809405705722935e-48,283.28287796822525,5.282086398431303e-55,330.3623204604389,4.884149599494463e-58,z=Phi^{-1}(u),0.7894806787411328,840.192902849147,0.892,1800,2050,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=1.11e-09, KS=0.1920).; Independence strongly rejected (min Ljung-Box p=4.88e-58, |ACF lag-1|=0.7895)."
0.1659999999999999,1.7261388018052646e-06,2.780533333333333,2.0483448393004977e-07,0.2060774589284619,0.15,389.954850278554,4.335680496364429e-82,505.4975418952044,2.9515401724062743e-102,575.5893758645461,3.9635596789384093e-109,z=Phi^{-1}(u),0.8576049422917206,730.7710801554748,0.912,1850,2100,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=2.05e-07, KS=0.1660).; Independence strongly rejected (min Ljung-Box p=3.96e-109, |ACF lag-1|=0.8576)."
0.132,0.000293531424011,1.1834493333333331,0.0009030815905647,0.7195462766939329,0.0625841831843252,310.5832192722561,5.308658620909989e-65,370.193981630771,2.0522024890570412e-73,379.88889447362806,2.999262104370736e-68,z=Phi^{-1}(u),0.8336005114488344,605.5389545323125,0.94,1900,2150,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail', 'coverage_warn']","Uniformity strongly rejected (min p=0.000294, KS=0.1320).; Independence strongly rejected (min Ljung-Box p=2.05e-73, |ACF lag-1|=0.8336).; Coverage mildly off-target by 0.040 (target=0.900)."
0.1119999999999999,0.0034624885629555,1.0547413333333333,0.0018058940112356,0.9998349744290635,0.01297824310842,400.6421720157073,2.157046197805065e-84,526.7024558823848,8.641048941947663e-107,557.1301585817799,3.016545615672566e-105,z=Phi^{-1}(u),0.869002768242962,675.5036522683084,0.9,1950,2200,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=0.00181, KS=0.1120).; Independence strongly rejected (min Ljung-Box p=8.64e-107, |ACF lag-1|=0.8690)."
0.12,0.0013550102442608,1.6748293333333333,6.642126377354174e-05,1.0352948781703617,0.01,441.1617489406702,3.959213525572813e-93,534.5982216132624,1.769184919747681e-108,564.5817277202227,8.18773307750465e-107,z=Phi^{-1}(u),0.8882348227922886,671.0817608386709,0.896,2000,2250,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=6.64e-05, KS=0.1200).; Independence strongly rejected (min Ljung-Box p=1.77e-108, |ACF lag-1|=0.8882)."
0.146,4.090430161748266e-05,2.705545333333333,3.026834112240806e-07,1.0634996229617002,0.01,543.1737684597349,3.8101164060152828e-115,650.2286936724962,3.0055652599948518e-133,689.6567203239673,3.412407588514458e-133,z=Phi^{-1}(u),0.9053303107836026,659.0171644562022,0.896,2050,2300,250,50,overlapping,RED,"['PIT_uniformity_fail', 'ACF_dependence_fail']","Uniformity strongly rejected (min p=3.03e-07, KS=0.1460).; Independence strongly rejected (min Ljung-Box p=3.01e-133, |ACF lag-1|=0.9053)."
